run_id,problem_id,difficulty,grid_size,,items_present,heuristic,search_algorithm,planner_time_seconds,search_time_seconds,total_time_seconds,expanded_states,evaluated_states,generated_states,dead_ends_steps,peak_memory_kb,plan_length_steps,status
1,e1,Easy,4x4,,Empty,ff(),eager_greedy([h]),"1,83",0,"0,058862",7,12,19,0,11060,6,Solution found
2,e1,Easy,4x4,,Empty,add(),eager_greedy([h]),"1,63",0,"0,005228",7,12,19,0,11060,6,Solution found
3,e1,Easy,4x4,,Empty,lmcut(),eager_greedy([h]),"1,58",0,"0,006988",7,12,19,0,11060,6,Solution found
4,e2,Easy,4x4,,Walls,ff(),eager_greedy([h]),"1,17",0,"0,006624",7,9,14,0,11060,6,Solution found
5,e2,Easy,4x4,,Walls,add(),eager_greedy([h]),"1,48",0,"0,003426",7,9,14,0,11060,6,Solution found
6,e2,Easy,4x4,,Walls,lmcut(),eager_greedy([h]),"1,05",0,0,7,9,14,0,11060,6,Solution found
7,e3,Easy,4x4,,Zombies+Walls,ff(),eager_greedy([h]),"1,29",0,"0,004235",7,22,21,2,11192,6,Solution found
8,e3,Easy,4x4,,Zombies+Walls,add(),eager_greedy([h]),"1,23","0,004228","0,008462",8,22,23,2,11192,6,Solution found
9,e3,Easy,4x4,,Zombies+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
10,e4,Easy,4x4,,Portals+Walls,ff(),eager_greedy([h]),1,0,"0,004218",10,12,21,0,11060,9,Solution found
11,e4,Easy,4x4,,Portals+Walls,add(),eager_greedy([h]),"1,18",0,"0,004246",10,12,21,0,11060,9,Solution found
12,e4,Easy,4x4,,Portals+Walls,lmcut(),eager_greedy([h]),"2,51",0,0,10,12,21,0,11060,9,Solution found
13,e5,Easy,4x4,,Zombies ,ff(),eager_greedy([h]),"1,77",0,"0,00863",8,24,23,1,11524,7,Solution found
14,e5,Easy,4x4,,Zombies,add(),eager_greedy([h]),"1,59",0,"0,011424",8,24,23,1,11512,7,Solution found
15,e5,Easy,4x4,,Zombies,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
16,e6,Easy,4x4,,Key+Keyhole+Door+Walls,ff(),eager_greedy([h]),"1,05","0,001442","0,006618",15,22,35,0,11060,12,Solution found
17,e6,Easy,4x4,,Key+Keyhole+Door+Walls,add(),eager_greedy([h]),"1,24",0,"0,004207",16,24,38,0,11060,12,Solution found
18,e6,Easy,4x4,,Key+Keyhole+Door+Walls,lmcut(),eager_greedy([h]),"0,94",0,"0,00321",16,24,38,0,11060,12,Solution found
19,e7,Easy,4x4,,Fireball+Pressure Plate+Walls,ff(),eager_greedy([h]),"1,29","0,004225","0,007147",9,18,40,0,11196,8,Solution found
